Timestamp,Container,CPU Usage,Memory Usage
2023-11-29 21:24,EVAM Cam 1,25.35%,40.25
2023-11-29 21:24,EVAM Cam 2,15.45%,77.16
2023-11-29 21:34,Visualizer,638.64%,1.294GiB
2023-11-29 21:34,EVAM Cam 1,22.94%,40.15
2023-11-29 21:34,EVAM Cam 2,15.66%,77.31
2023-11-29 21:44,Visualizer,646.31%,1.302GiB
2023-11-29 21:44,EVAM Cam 1,24.23%,40.14
2023-11-29 21:44,EVAM Cam 2,15.20%,77.12
2023-11-29 21:54,Visualizer,635.90%,1.278GiB
2023-11-29 21:54,EVAM Cam 1,24.59%,39.96
2023-11-29 21:54,EVAM Cam 2,15.63%,77.16
2023-11-29 22:05,Visualizer,627.06%,1.277GiB
2023-11-29 22:05,EVAM Cam 1,24.24%,40.24
2023-11-29 22:05,EVAM Cam 2,15.35%,77.18
2023-11-29 22:15,Visualizer,615.81%,1.284GiB
2023-11-29 22:15,EVAM Cam 1,24.06%,44.1
2023-11-29 22:15,EVAM Cam 2,15.42%,77.18
2023-11-29 22:25,Visualizer,613.94%,1.289GiB
2023-11-29 22:25,EVAM Cam 1,24.64%,40.16
2023-11-29 22:25,EVAM Cam 2,15.72%,77.16
2023-11-29 22:35,Visualizer,622.23%,1.289GiB
2023-11-29 22:35,EVAM Cam 1,24.94%,39.88
2023-11-29 22:35,EVAM Cam 2,15.13%,77.18
2023-11-29 22:45,Visualizer,626.62%,1.302GiB
2023-11-29 22:45,EVAM Cam 1,24.10%,40.18
2023-11-29 22:45,EVAM Cam 2,16.66%,77.31
2023-11-29 22:55,Visualizer,650.45%,1.302GiB
2023-11-29 22:55,EVAM Cam 1,24.08%,40.18
2023-11-29 22:55,EVAM Cam 2,15.29%,77.18
2023-11-29 23:05,Visualizer,627.21%,1.291GiB
2023-11-29 23:05,EVAM Cam 1,24.75%,40.04
2023-11-29 23:05,EVAM Cam 2,15.66%,77.18
2023-11-29 23:15,Visualizer,652.29%,1.286GiB
2023-11-29 23:15,EVAM Cam 1,25.12%,39.91
2023-11-29 23:15,EVAM Cam 2,15.36%,77.16
2023-11-29 23:25,Visualizer,613.64%,1.294GiB
2023-11-29 23:25,EVAM Cam 1,23.83%,40.18
2023-11-29 23:25,EVAM Cam 2,15.82%,77.29
2023-11-29 23:36,Visualizer,628.34%,1.294GiB
2023-11-29 23:36,EVAM Cam 1,24.12%,44.52
2023-11-29 23:36,EVAM Cam 2,14.95%,77.3
2023-11-29 23:46,Visualizer,642.56%,1.302GiB
2023-11-29 23:46,EVAM Cam 1,23.74%,40.24
2023-11-29 23:46,EVAM Cam 2,15.53%,77.16
2023-11-29 23:56,Visualizer,627.19%,1.294GiB
2023-11-29 23:56,EVAM Cam 1,24.02%,38.89
2023-11-29 23:56,EVAM Cam 2,15.25%,77.14
2023-11-30 0:06,Visualizer,635.50%,1.294GiB
2023-11-30 0:06,EVAM Cam 1,23.68%,38.82
2023-11-30 0:06,EVAM Cam 2,15.04%,77.15
2023-11-30 0:16,Visualizer,615.07%,1.302GiB
2023-11-30 0:16,EVAM Cam 1,25.35%,47.38
2023-11-30 0:16,EVAM Cam 2,14.99%,77.15
2023-11-30 0:26,Visualizer,613.67%,1.302GiB
2023-11-30 0:26,EVAM Cam 1,23.41%,39.36
2023-11-30 0:26,EVAM Cam 2,15.25%,77.15
2023-11-30 0:36,Visualizer,613.04%,1.302GiB
2023-11-30 0:36,EVAM Cam 1,23.01%,38.83
2023-11-30 0:36,EVAM Cam 2,15.11%,77.16
2023-11-30 0:46,Visualizer,612.46%,1.294GiB
2023-11-30 0:46,EVAM Cam 1,23.06%,38.86
2023-11-30 0:46,EVAM Cam 2,15.16%,77.28
2023-11-30 0:56,Visualizer,603.90%,1.302GiB
2023-11-30 0:56,EVAM Cam 1,23.90%,47.45
2023-11-30 0:56,EVAM Cam 2,15.43%,77.28
2023-11-30 1:07,Visualizer,620.88%,1.302GiB
2023-11-30 1:07,EVAM Cam 1,23.63%,38.82
2023-11-30 1:07,EVAM Cam 2,14.59%,77.15
2023-11-30 1:17,Visualizer,635.91%,1.302GiB
2023-11-30 1:17,EVAM Cam 1,25.05%,47.45
2023-11-30 1:17,EVAM Cam 2,15.24%,77.14
2023-11-30 1:27,Visualizer,612.70%,1.302GiB
2023-11-30 1:27,EVAM Cam 1,23.43%,38.83
2023-11-30 1:27,EVAM Cam 2,15.50%,77.16
2023-11-30 1:37,Visualizer,609.03%,1.294GiB
2023-11-30 1:37,EVAM Cam 1,23.54%,38.88
2023-11-30 1:37,EVAM Cam 2,15.45%,77.27
2023-11-30 1:47,Visualizer,614.16%,1.294GiB
2023-11-30 1:47,EVAM Cam 1,24.75%,38.88
2023-11-30 1:47,EVAM Cam 2,15.03%,77.16
2023-11-30 1:57,Visualizer,637.32%,1.302GiB
2023-11-30 1:57,EVAM Cam 1,23.27%,38.82
2023-11-30 1:57,EVAM Cam 2,15.08%,77.28
2023-11-30 2:07,Visualizer,527.97%,1.302GiB
2023-11-30 2:07,EVAM Cam 1,19.44%,38.63
2023-11-30 2:07,EVAM Cam 2,13.26%,77.08
2023-11-30 2:17,Visualizer,522.05%,1.302GiB
2023-11-30 2:17,EVAM Cam 1,18.05%,38.79
2023-11-30 2:17,EVAM Cam 2,14.26%,77.2
2023-11-30 2:27,Visualizer,527.09%,1.286GiB
2023-11-30 2:27,EVAM Cam 1,18.69%,47.18
2023-11-30 2:27,EVAM Cam 2,14.31%,77.09
2023-11-30 2:38,Visualizer,526.37%,1.281GiB
2023-11-30 2:38,EVAM Cam 1,18.60%,38.48
2023-11-30 2:38,EVAM Cam 2,14.09%,77.27
2023-11-30 2:48,Visualizer,529.06%,1.286GiB
2023-11-30 2:48,EVAM Cam 1,17.79%,38.63
2023-11-30 2:48,EVAM Cam 2,14.86%,77.09
2023-11-30 2:58,Visualizer,523.57%,1.286GiB
2023-11-30 2:58,EVAM Cam 1,17.12%,47.23
2023-11-30 2:58,EVAM Cam 2,14.60%,77.27
